id,prediction,label,化学式,包含元素,Ea
557268,0.94638294,1,KLi4AlO4,"Al, K, Li, O",0.537109375
1019555,0.997873902,1,BaNaLi3(BO2)6,"B, Ba, Li, Na, O",0.908203125
17718,0.999450386,1,CsKNa2Li12(SiO4)4,"Cs, K, Li, Na, O, Si",0.76171875
4657,0.999913692,1,Li5GaO4,"Ga, Li, O",0.556640625
26003,0.984522581,1,LiFe(PO3)3,"Fe, Li, O, P",1.064453125
555089,0.999955058,1,SrLi4Ca(SiO4)2,"Ca, Li, O, Si, Sr",0.99609375
6565,0.995957077,1,Li3Sc2(PO4)3,"Li, O, P, Sc",0.44921875
558455,0.996184289,1,Na4Li5(BO3)3,"B, Li, Na, O",0.95703125
1208758,0.999965191,1,Sr3Li6Ta2O11,"Li, O, Sr, Ta",0.556640625
27811,0.806187987,1,Li2Te2O5,"Li, O, Te",0.15625
25991,0.999369562,1,Li2Ni3(P2O7)2,"Li, Ni, O, P",2.01171875
14638,0.773346722,1,Rb2LiGaF6,"F, Ga, Li, Rb",1.025390625
17664,0.999648333,1,LiNi2P3O10,"Li, Ni, O, P",1.025390625
6499,0.92513001,1,BaLiBO3,"B, Ba, Li, O",1.77734375
559142,0.951458693,1,KLi(PO3)2,"K, Li, O, P",0.9375
1191141,0.999859691,1,SrLi2SiO4,"Li, O, Si, Sr",1.298828125
560653,0.999668002,1,RbNaLi6(SiO4)2,"Li, Na, O, Rb, Si",0.91796875
10814,0.944132209,1,SrLiBO3,"B, Li, O, Sr",1.396484375
1190486,0.999978542,1,Sr3LiTaO6,"Li, O, Sr, Ta",3.57421875
3540,0.999958754,1,Li2SnO3,"Li, O, Sn",0.41015625
26019,0.86938554,1,LiMn(PO3)3,"Li, Mn, O, P",1.044921875
1080679,0.923943341,1,LiTaF6,"F, Li, Ta",0.986328125
9143,0.732050896,1,LiPF6,"F, Li, P",0.986328125
774797,0.707933903,1,Li2Ti3ZnO8,"Li, O, Ti, Zn",1.69921875
17672,0.707538188,1,BaLi(B3O5)3,"B, Ba, Li, O",0.78125
1200209,0.882035851,1,Li2B6O9F2,"B, F, Li, O",0.498046875
556649,0.972983658,1,Li4Ga3Si3BrO12,"Br, Ga, Li, O, Si",0.56640625
8892,0.933030009,1,LiInF4,"F, In, Li",0.95703125
1203394,0.990533948,1,Li2MnP2O7,"Li, Mn, O, P",1.09375
